147	110	34	33
150	114	32	34
153	118	31	34
156	118	31	35
160	118	30	35
163	117	30	36
163	118	30	36
163	119	30	36
163	120	31	35
164	119	30	36
168	117	30	37
167	113	30	36
161	111	29	36
158	108	29	35
158	106	29	36
157	76	28	37
154	72	28	36
148	70	29	36
144	69	29	36
136	66	29	36
130	65	30	35
130	66	30	35
130	66	30	34
130	64	30	35
131	63	30	34
141	67	30	35
149	70	30	35
154	78	29	36
160	88	28	36
164	96	28	36
168	118	28	35
168	126	28	35
168	122	28	36
168	108	28	37
165	90	28	38
165	57	28	38
164	51	29	36
163	50	29	35
163	51	29	35
162	54	28	35
162	69	28	34
163	86	28	35
163	103	28	35
164	116	27	36
163	122	28	35
162	97	27	36
161	91	27	34
160	89	28	34
160	92	28	33
159	96	28	34
157	112	28	34
156	123	28	34
158	137	28	34
159	155	28	34
160	166	28	34
159	157	28	35
158	135	28	35
157	121	28	36
156	115	28	35
154	110	28	34
152	108	29	34
150	112	29	34
149	117	29	35
148	127	28	36
146	137	28	37
145	142	28	37
140	121	29	36
135	100	29	36
133	84	30	36
128	77	29	36
123	71	29	35
121	76	29	35
122	85	29	35
121	103	29	35
122	119	29	35
125	145	29	36
125	135	28	37
125	119	29	37
131	102	29	37
137	87	29	36
144	75	29	35
149	74	29	34
155	77	29	34
159	81	29	34
163	90	29	34
173	110	28	36
174	117	29	36
175	111	28	35
176	94	29	34
176	84	29	34
181	72	29	34
181	73	30	34
180	77	29	35
180	86	29	35
181	102	29	35
179	136	29	38
177	140	29	38
173	130	29	38
168	115	29	37
165	109	29	36
163	98	29	36
160	96	30	35
158	99	30	34
156	103	29	35
156	111	29	35
152	132	29	35
149	125	29	35
142	106	29	36
137	93	30	35
134	87	30	34
129	81	30	34
126	85	30	32
123	88	30	32
122	96	29	34
124	109	28	36
124	130	28	36
126	121	28	37
123	106	28	37
124	97	28	37
127	94	29	35
133	90	28	35
133	95	29	34
137	105	29	34
142	115	29	34
150	128	29	34
161	145	29	34
166	132	29	35
169	117	29	35
172	105	29	35
173	96	29	35
175	89	29	35
175	91	29	34
172	95	29	33
169	106	29	34
167	116	29	35
164	133	28	35
164	121	28	36
163	103	28	37
163	95	28	36
163	90	28	35
161	86	29	34
159	90	29	33
157	93	29	34
155	102	28	34
156	112	28	35
155	119	28	36
153	107	28	36
151	92	29	35
146	85	29	34
138	83	30	33
127	92	29	33
124	99	29	34
123	113	28	34
121	130	28	34
120	142	28	35
121	149	28	36
122	139	28	37
122	127	28	37
126	123	29	34
131	120	29	33
140	122	30	32
145	126	30	32
152	137	29	33
159	146	29	34
165	161	28	35
173	162	28	36
176	146	28	35
179	131	28	34
185	124	29	34
190	119	29	33
194	116	28	34
194	121	28	34
193	127	28	34
187	139	28	34
181	150	29	35
166	141	28	35
159	117	29	36
152	101	29	36
147	88	29	35
143	80	29	35
138	76	29	34
138	81	29	34
138	91	29	34
139	102	28	34
140	115	28	36
141	111	28	36
142	102	28	35
144	95	28	35
144	93	29	35
148	92	29	35
156	103	28	35
157	114	28	34
158	127	28	35
160	145	27	36
160	158	27	37
161	150	27	37
160	138	28	36
158	133	28	34
158	132	28	34
158	135	28	34
158	144	27	34
158	157	27	34
159	171	27	34
160	190	27	35
162	206	27	36
163	198	26	36
162	181	27	37
162	167	27	36
161	161	27	35
161	150	27	35
160	140	27	35
160	141	27	34
160	145	27	35
161	155	27	36
162	165	26	36
164	145	27	37
162	116	28	37
162	100	28	36
162	88	28	35
162	82	28	35
159	85	28	34
157	89	28	34
157	104	27	34
157	123	27	36
159	134	27	36
152	121	28	35
148	107	28	35
147	99	28	35
143	95	29	34
140	94	29	34
137	99	29	34
136	110	28	35
135	123	28	36
137	134	28	36
139	134	29	35
144	105	29	36
145	97	29	36
147	94	30	34
153	91	29	33
159	91	29	33
163	101	29	34
169	111	29	34
176	123	28	36
181	127	29	36
182	118	29	36
184	92	29	36
185	86	29	35
185	82	29	34
186	82	29	34
188	84	29	34
193	94	29	34
197	105	28	36
200	118	28	36
202	125	29	35
205	115	29	36
203	88	28	36
202	85	29	34
197	84	29	33
191	84	29	33
186	87	30	32
180	99	30	32
177	112	29	34
176	123	29	33
171	121	28	35
167	110	28	35
163	88	28	35
162	84	28	34
160	84	29	33
159	87	29	33
157	90	28	33
155	111	27	34
154	124	27	36
152	135	27	35
147	131	27	35
139	118	28	35
118	104	28	35
117	100	28	34
116	99	28	34
114	102	28	34
114	106	28	34
121	122	28	34
124	135	28	35
128	142	28	34
134	132	29	34
143	114	29	35
146	88	29	34
151	82	29	34
156	78	29	32
159	78	29	32
163	82	29	32
167	100	28	33
168	114	28	34
167	122	27	34
167	116	27	35
166	101	27	36
165	81	27	34
162	77	27	33
162	77	27	33
161	80	27	33
158	88	28	33
150	107	27	34
149	120	27	35
147	126	27	34
145	119	27	34
144	106	27	34
143	100	28	33
146	103	28	32
147	110	27	33
149	116	27	33
149	123	26	34
150	146	26	35
150	158	26	36
149	168	26	35
