152	102	40	67
153	101	39	67
154	103	38	68
155	104	38	68
156	106	38	68
157	106	38	68
157	107	38	67
153	110	38	66
148	113	39	64
145	115	39	63
139	115	40	61
137	112	39	61
134	110	38	62
134	112	38	62
137	109	39	62
138	105	39	64
145	103	40	64
151	105	41	65
160	104	40	66
164	106	40	67
174	110	41	67
183	113	42	68
186	113	41	71
189	111	41	75
190	109	41	77
193	111	44	77
191	112	45	78
185	109	45	79
184	107	45	79
181	105	47	80
178	102	47	80
172	96	49	79
162	92	52	79
160	90	52	81
150	90	53	83
145	90	55	85
138	88	55	87
128	83	56	86
119	80	58	85
114	83	58	86
110	87	58	87
105	90	58	87
102	94	58	87
99	94	59	86
101	97	59	87
102	98	61	87
108	100	60	90
110	102	60	94
108	101	60	97
109	99	59	100
107	95	60	100
102	91	60	101
103	88	59	102
109	89	58	103
107	87	58	102
111	87	59	99
108	91	60	97
116	92	62	94
121	93	64	91
126	93	66	90
137	91	67	88
144	94	64	92
149	84	63	93
148	86	61	94
153	86	61	96
159	89	59	97
162	93	60	97
165	98	62	96
167	105	64	96
170	110	66	94
171	110	69	92
197	103	70	92
206	101	70	96
208	98	68	103
217	98	66	108
221	102	65	110
230	98	61	115
231	98	61	115
229	98	61	115
227	101	61	114
224	95	62	112
219	92	63	109
207	90	63	107
204	90	64	106
198	93	65	104
195	93	66	102
191	92	66	99
186	91	66	98
180	94	67	100
172	86	68	99
163	85	69	97
152	80	69	96
142	76	68	92
136	74	68	87
130	75	68	83
126	75	66	81
122	76	63	79
121	76	61	78
116	74	59	76
108	75	58	75
106	77	55	74
103	76	53	72
97	72	52	71
89	70	49	71
82	66	48	68
76	62	46	67
76	59	44	66
76	55	42	65
74	52	40	65
72	49	40	64
72	48	39	62
73	49	38	62
74	50	38	62
76	47	39	61
79	51	39	61
79	52	40	60
82	51	41	60
86	56	44	58
92	54	46	56
95	53	47	56
109	52	46	56
108	55	48	56
127	54	50	57
118	66	51	57
126	68	50	58
138	66	51	59
148	68	52	61
166	66	53	61
176	62	52	62
189	60	52	61
191	60	50	62
193	61	48	64
193	55	45	68
190	49	45	70
177	41	47	70
164	29	50	71
155	19	50	74
145	17	50	75
139	24	50	76
137	35	50	75
135	37	50	74
132	38	52	72
126	42	53	71
117	46	54	71
110	47	56	70
105	51	58	71
99	49	60	71
89	47	61	71
82	39	62	70
77	40	63	70
70	40	65	70
57	42	65	73
51	41	65	74
42	43	66	75
36	39	64	75
31	35	61	77
33	29	58	79
33	23	56	80
40	16	56	79
47	14	54	79
55	14	52	79
63	14	49	80
71	14	47	82
76	16	46	83
85	19	46	83
92	21	46	83
99	25	46	84
104	28	47	82
113	31	48	80
113	42	49	81
116	43	51	79
118	49	55	77
121	58	59	76
128	70	64	75
130	78	67	77
125	85	69	78
135	91	72	78
136	85	72	78
170	64	72	79
174	69	72	80
176	69	72	81
155	103	72	82
173	111	73	82
182	132	73	82
182	133	74	82
185	125	74	83
185	128	74	90
182	126	73	100
181	117	72	109
169	114	75	114
160	115	76	118
150	112	77	121
135	108	76	124
111	91	78	126
107	96	81	126
101	88	78	130
95	84	78	131
91	85	80	129
84	84	82	126
85	83	83	123
83	86	84	122
76	88	82	121
72	86	79	120
66	85	78	118
66	85	75	116
74	88	72	116
82	89	68	116
87	89	66	118
96	86	66	117
110	91	69	113
113	101	74	107
133	107	74	108
141	107	73	111
149	112	72	114
154	101	78	108
182	97	78	113
195	98	78	114
210	97	81	113
218	95	84	112
229	94	85	115
230	87	86	117
228	88	86	119
221	86	83	121
217	83	78	125
209	77	76	127
193	74	75	128
174	76	76	125
159	85	74	124
151	90	77	121
135	83	77	120
123	82	77	120
108	79	76	120
97	82	78	117
81	82	79	115
64	83	80	113
58	83	82	111
56	84	83	111
58	87	82	112
63	92	83	113
81	92	86	112
86	96	90	110
89	94	97	104
105	103	98	105
115	124	100	107
123	135	107	105
136	136	109	104
148	134	110	104
160	133	112	104
176	136	112	104
190	134	113	104
202	121	111	109
211	106	106	117
199	99	97	127
195	86	87	141
183	98	85	142
164	110	87	138
147	115	90	131
142	117	91	126
133	110	89	126
121	106	85	127
115	100	83	127
103	77	80	125
90	76	79	121
74	74	80	116
62	73	79	112
61	74	82	105
52	73	84	100
53	72	83	99
55	72	84	96
55	74	85	92
55	74	84	91
